"","Worst orage de sève à 81% de taux d'humidité","","","","Good 48% à 17% de taux d'humidité","","","","","","","","","","","","","","","","","","","","",""
"","Bad 80% à 49% de taux d'humidité","","","","Best 16% à 0% de taux d'humidité","","","","","","","","","","","","","","","","","","","","",""
"m","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Printemps Reboot","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Ambres","Graines","Fibres","Résine","Huile","Sève","Carapace","Écorce","Bois","Boucles","","","","","","","","","","","","","",""
"","Sources Interdites","Worst","Beng","Caprice","Anète","Dung","Gulatch","Dante","Mignonne","Beckers","Eyota","Nita","","","","","","","","","","","","","",""
"","","","Pha","Silvio","Buo","Colle","Irin","Ardente","Inteligente","Oath","Kachine","Patee","","","","","","","","","","","","","",""
"","","","Sha","","","Lune","Pilan","Silverweed","","Perfling","Tama","Scratch","","","","","","","","","","","","","",""
"","","","Zun","","","","","","","","","Yana","","","","","","","","","","","","","",""
"","","Bad","Soo","","","","","","","","","","","","","","","","","","","","","","",""
"","","Good","","Saurona","","","","","Splinter","","","","","","","","","","","","","","","","",""
"","","Best","","","","","","","Grosse","","","","","","","","","","","","","","","","",""
"","","","Ambres","Graines","Fibres","Résine","Huile","Sève","Carapace","Écorce","Bois","Boucles","","","","","","","","","","","","","",""
"","Terre de la Continuité","Worst","Hash","Caprice","Shu","Colle","Irin","Dante","Grosse","Adriel","Motega","Nita","","","","","","","","","","","","","",""
"","","","Pha","Sarina","","Lune","Koorin","Enola","Cornée","Beckers","","Patee","","","","","","","","","","","","","",""
"","","","Sha","Silvio","","","Pilan","","Inteligente","","","Scratch","","","","","","","","","","","","","",""
"","","","Zun","","","","","","Splinter","","","","","","","","","","","","","","","","",""
"","","Bad","","","","","","","","Perfling","","","","","","","","","","","","","","","",""
"","","Good","","","","","","","","","","Tansy","","","","","","","","","","","","","",""
"","","","","","","","","","","","","Yana","","","","","","","","","","","","","",""
"","","Best","","","Anète","","","Visc","","Oath","","","","","","","","","","","","","","","",""
"","","","","","Buo","","","","","","","","","","","","","","","","","","","","",""
"","","","Ambres","Graines","Fibres","Résine","Huile","Sève","Carapace","Écorce","Bois","Boucles","","","","","","","","","","","","","",""
"","Cité Engloutie","Worst","Pha","Caprice","Anète","Dung","Gulatch","Dante","Grosse","Adriel","Abhaya","Nita","","","","","","","","","","","","","",""
"","","","","Saurona","Buo","Colle","Koorin","","Cornée","Beckers","Tama","Patee","","","","","","","","","","","","","",""
"","","","","Silvio","Dzao","Lune","","","Inteligente","Mitexi","","Scratch","","","","","","","","","","","","","",""
"","","","","","Shu","","","","Splinter","","","Tansy","","","","","","","","","","","","","",""
"","","Bad","","","","","","","","","Eyota","Yana ?","","","","","","","","","","","","","",""
